date,time,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_72h,river_level,river_level_lag1,river_level_lag3,river_level_lag6,river_level_lag12,river_discharge,temperature,humidity,pressure,wind_speed,elevation,distance_from_river,historical_flood_count,population,flood_probability,flood_risk
2020-01-03,12:00:00,16.1,80.65,1.15,1.15,3.1,8.09,12.38,18.19,6.485,6.806,6.811,7.43,7.43,15281.6,28.92,82.95,1003.59,11.51,18.2,2.1,7,12450,0.01,LOW
2020-01-03,18:00:00,16.14,80.71,3.06,10.79,23.41,38.75,64.64,115.64,6.307,6.485,6.935,6.624,6.624,35283.01,32.09,65.35,1009.35,4.02,21.4,3.7,5,8320,0.022,LOW
2020-01-04,00:00:00,16.18,80.75,1.36,4.45,19.29,39.86,58.88,191.73,6.299,6.307,6.806,7.107,7.111,31564.95,26.02,66.54,1004.25,12.2,14.7,1.2,4,15620,0.034,LOW
2020-01-04,06:00:00,16.22,80.8,6.64,22.44,36.97,70.16,110.83,275.37,7.016,6.299,6.485,6.811,6.7,49703.15,19.87,70.4,1006.07,4.93,12.8,2.8,7,19850,0.0896,LOW
2020-01-04,12:00:00,16.28,80.84,9.39,20.94,35.14,45.55,80.92,222.21,7.166,7.016,6.307,6.935,6.478,41090.75,25.65,89.22,1009.35,8.23,25.1,5.4,7,9130,0.0375,LOW
2020-01-04,18:00:00,16.34,80.9,6.35,12.08,24.02,56.44,97.61,238.75,7.588,7.166,6.299,6.806,6.629,47112.91,28.64,80.21,1006.88,8.34,19.3,3.1,6,14670,0.1056,LOW
2020-01-05,00:00:00,16.4,80.96,2.4,7.75,23.74,37.95,76.76,260.37,7.942,7.588,7.016,6.485,7.43,39724.86,31.21,82.94,1000.68,6.93,11.9,1.6,8,22100,0.1103,LOW
2020-01-05,06:00:00,16.46,81.02,1.39,4.18,10.51,24.85,31.72,106.61,7.385,7.942,7.166,6.307,6.624,24138.24,25.96,77.94,1001.88,4.53,28.4,6.2,10,7650,0.0145,LOW
2020-01-05,12:00:00,16.52,81.08,6.22,10.19,20.73,32.51,55.8,143.55,7.328,7.385,7.588,6.299,7.107,32785.36,26.24,79.3,1007.19,10.51,16.5,2.4,8,17400,0.0699,LOW
2020-01-05,18:00:00,16.58,81.14,1.9,11.39,16.94,36.86,56.16,114.98,7.284,7.328,7.942,7.016,6.811,32073.98,25.33,77.45,1008.15,12.74,22.7,4.1,8,10900,0.0181,LOW
2020-01-06,00:00:00,16.1,80.65,0.56,6.49,15.77,28.14,28.14,124.3,6.968,7.284,7.385,7.166,6.935,22324.67,27.61,78.22,998.37,5.8,18.2,2.1,7,12450,0.0184,LOW
2020-01-06,06:00:00,16.14,80.71,9.87,21.37,32.92,63.1,103.47,305.08,7.662,6.968,7.328,7.588,6.806,52110.59,30.41,77.24,1011.08,8.22,21.4,3.7,9,8320,0.1085,LOW
2020-01-06,12:00:00,16.18,80.75,5.27,14.14,26.67,31.3,49.34,151.07,7.485,7.662,7.284,7.942,6.485,31698.19,25.93,84.56,1010.39,8.88,14.7,1.2,3,15620,0.0327,LOW
2020-01-06,18:00:00,16.22,80.8,2.97,7.33,7.33,15.19,49.99,106.51,7.175,7.485,6.968,7.385,6.307,28972.76,25.83,71.79,1006.58,5.46,12.8,2.8,7,19850,0.046,LOW
2020-01-07,00:00:00,16.28,80.84,1.39,3.12,8.45,18.07,24.81,26.6,6.69,7.175,7.662,7.328,6.299,21890.01,25.62,63.4,1009.93,5.58,25.1,5.4,7,9130,0.01,LOW
2020-01-07,06:00:00,16.34,80.9,9.92,15.1,17.58,23.49,36.76,129.17,6.76,6.69,7.485,7.284,7.016,25680.22,26.98,85.43,1007.22,5.9,19.3,3.1,6,14670,0.0119,LOW
2020-01-07,12:00:00,16.4,80.96,1.1,1.1,1.1,5.55,5.55,5.55,6.339,6.76,7.175,6.968,7.166,13251.05,25.18,73.28,998.19,9.76,11.9,1.6,7,22100,0.01,LOW
2020-01-07,18:00:00,16.46,81.02,1.34,1.81,8.21,8.21,15.88,15.88,5.836,6.339,6.69,7.662,7.588,14611.05,27.57,71.12,1009.19,3.9,28.4,6.2,7,7650,0.01,LOW
2020-01-08,00:00:00,16.52,81.08,1.13,1.3,6.98,6.98,6.98,6.98,5.387,5.836,6.76,7.485,7.942,12275.87,27.37,77.09,1008.66,12.0,16.5,2.4,8,17400,0.01,LOW
2020-01-08,06:00:00,16.58,81.14,2.16,4.4,6.52,18.95,24.76,24.76,5.219,5.387,6.339,7.175,7.385,15405.41,27.04,86.61,1008.09,7.5,22.7,4.1,8,10900,0.01,LOW
2020-01-08,12:00:00,16.1,80.65,0.43,4.55,9.68,16.18,33.97,52.53,5.258,5.219,5.836,6.69,7.328,20822.46,30.32,78.96,1005.73,10.12,18.2,2.1,6,12450,0.01,LOW
2020-01-08,18:00:00,16.14,80.71,6.73,19.84,28.47,51.78,81.72,233.05,5.548,5.258,5.387,6.76,7.284,39458.8,27.62,69.8,1015.51,8.37,21.4,3.7,7,8320,0.0365,LOW
2020-01-09,00:00:00,16.18,80.75,1.23,4.3,4.3,7.68,15.17,65.67,5.436,5.548,5.219,6.339,6.968,12308.22,25.71,75.75,1010.7,6.59,14.7,1.2,8,15620,0.01,LOW
2020-01-09,06:00:00,16.22,80.8,8.37,17.46,28.12,37.2,83.3,208.71,5.715,5.436,5.258,5.836,7.662,39414.96,26.41,69.91,1015.96,8.2,12.8,2.8,7,19850,0.0372,LOW
2020-01-09,12:00:00,16.28,80.84,1.62,2.48,2.57,14.93,37.32,41.85,5.586,5.715,5.548,5.387,7.485,21522.71,27.64,75.02,1006.43,9.37,25.1,5.4,7,9130,0.01,LOW
2020-01-09,18:00:00,16.34,80.9,17.45,36.0,58.49,102.34,155.92,485.44,6.384,5.586,5.436,5.219,7.175,64056.87,27.56,86.43,1003.43,6.41,19.3,3.1,4,14670,0.4073,MODERATE
2020-01-10,00:00:00,16.4,80.96,1.19,1.19,11.09,19.91,36.02,78.86,6.163,6.384,5.715,5.258,6.69,24071.18,29.43,77.24,1007.48,7.14,11.9,1.6,4,22100,0.01,LOW
2020-01-10,06:00:00,16.46,81.02,5.69,14.22,24.93,24.93,48.71,135.63,6.107,6.163,5.586,5.548,6.76,27851.97,28.16,86.27,1012.45,5.54,28.4,6.2,8,7650,0.016,LOW
2020-01-10,12:00:00,16.52,81.08,0.04,0.67,0.67,0.67,0.67,0.67,5.743,6.107,6.384,5.436,6.339,9881.7,32.79,79.51,1007.6,5.9,16.5,2.4,12,17400,0.01,LOW
2020-01-10,18:00:00,16.58,81.14,2.72,5.59,8.93,8.93,12.89,19.49,5.291,5.743,6.163,5.715,5.836,15314.83,29.04,65.97,1010.95,4.75,22.7,4.1,8,10900,0.01,LOW
2020-01-11,00:00:00,16.1,80.65,5.16,15.12,17.06,37.0,57.88,143.46,5.342,5.291,6.107,5.586,5.387,30999.94,29.32,76.31,1009.34,8.12,18.2,2.1,7,12450,0.0143,LOW
2020-01-11,06:00:00,16.14,80.71,1.84,1.84,10.22,17.59,17.59,60.95,5.067,5.342,5.743,6.384,5.219,16744.59,27.62,68.45,1009.0,9.83,21.4,3.7,6,8320,0.01,LOW
2020-01-11,12:00:00,16.18,80.75,1.87,8.22,8.22,8.22,12.31,36.4,5.204,5.067,5.291,6.163,5.258,12878.59,24.64,80.65,1006.37,5.99,14.7,1.2,10,15620,0.01,LOW
2020-01-11,18:00:00,16.22,80.8,0.36,0.93,0.93,0.93,0.93,0.93,4.856,5.204,5.342,6.107,5.548,7247.9,25.17,79.38,1005.02,9.63,12.8,2.8,10,19850,0.01,LOW
2020-01-12,00:00:00,16.28,80.84,1.54,3.45,10.71,29.62,34.93,93.16,4.094,4.856,5.067,5.743,5.436,18551.24,25.15,76.5,1009.38,5.4,25.1,5.4,7,9130,0.01,LOW
2020-01-12,06:00:00,16.34,80.9,8.68,22.81,53.44,105.57,197.69,614.21,5.793,4.094,5.204,5.291,5.715,78637.67,30.04,80.44,1006.37,8.42,19.3,3.1,6,14670,0.5214,HIGH
2020-01-12,12:00:00,16.4,80.96,3.07,11.9,20.38,41.52,68.5,219.56,6.024,5.793,4.856,5.342,5.586,35307.55,28.18,76.84,1011.18,4.45,11.9,1.6,6,22100,0.0331,LOW
2020-01-12,18:00:00,16.46,81.02,2.06,5.93,10.95,11.81,15.38,15.38,5.638,6.024,4.094,5.067,6.384,14929.75,25.78,87.84,1001.88,2.55,28.4,6.2,8,7650,0.01,LOW
2020-01-13,00:00:00,16.52,81.08,3.75,10.03,19.5,31.52,40.95,128.51,5.577,5.638,5.793,5.204,6.163,24096.62,28.98,75.31,1004.46,6.38,16.5,2.4,6,17400,0.0175,LOW
2020-01-13,06:00:00,16.58,81.14,4.7,13.38,30.62,58.62,99.18,279.82,5.983,5.577,6.024,4.856,6.107,44664.37,25.51,87.36,1006.81,4.47,22.7,4.1,5,10900,0.0697,LOW
2020-01-13,12:00:00,16.1,80.65,1.87,1.87,1.87,8.73,8.73,19.67,5.401,5.983,5.638,4.094,5.743,12821.96,32.28,76.41,1008.79,12.5,18.2,2.1,7,12450,0.01,LOW
2020-01-13,18:00:00,16.14,80.71,2.5,4.64,7.45,7.79,32.0,112.96,5.492,5.401,5.577,5.793,5.291,21322.36,28.97,80.36,1010.62,6.71,21.4,3.7,5,8320,0.0177,LOW
2020-01-14,00:00:00,16.18,80.75,11.34,24.08,37.6,77.62,129.59,375.76,6.008,5.492,5.983,6.024,5.342,56849.33,33.52,75.97,1003.68,9.93,14.7,1.2,7,15620,0.1326,LOW
2020-01-14,06:00:00,16.22,80.8,7.38,16.93,22.27,54.89,76.54,209.64,6.293,6.008,5.401,5.638,5.067,38430.38,30.25,84.83,1004.76,9.04,12.8,2.8,5,19850,0.0319,LOW
2020-01-14,12:00:00,16.28,80.84,2.91,10.42,25.66,26.26,29.98,117.97,5.996,6.293,5.492,5.577,5.204,22767.98,23.58,74.92,999.62,8.69,25.1,5.4,4,9130,0.011,LOW
2020-01-14,18:00:00,16.34,80.9,37.66,105.16,225.07,392.02,578.95,1393.12,10.271,5.996,6.008,5.983,4.856,220413.37,25.49,75.76,1003.33,7.58,19.3,3.1,7,14670,0.99,VERY_HIGH
2020-01-15,00:00:00,16.4,80.96,4.5,17.38,27.32,46.5,60.33,169.13,10.045,10.271,6.293,5.401,4.094,39376.7,31.21,75.41,1007.71,10.23,11.9,1.6,12,22100,0.1201,LOW
2020-01-15,06:00:00,16.46,81.02,2.82,5.52,13.52,13.52,40.51,107.61,9.533,10.045,5.996,5.492,5.793,29317.74,26.44,78.59,1011.97,9.46,28.4,6.2,9,7650,0.0237,LOW
2020-01-15,12:00:00,16.52,81.08,4.96,11.21,22.33,23.67,24.37,54.33,9.104,9.533,10.271,6.008,6.024,24089.9,22.26,72.72,1002.32,12.16,16.5,2.4,9,17400,0.0577,LOW
2020-01-15,18:00:00,16.58,81.14,2.14,2.14,2.14,20.05,44.51,138.26,8.54,9.104,10.045,6.293,5.638,29907.53,27.86,75.42,1008.89,7.97,22.7,4.1,9,10900,0.024,LOW
2020-01-16,00:00:00,16.1,80.65,1.53,1.53,7.51,14.92,14.92,29.55,8.028,8.54,9.533,5.996,5.577,19939.59,27.7,66.99,1008.49,8.0,18.2,2.1,7,12450,0.0238,LOW
2020-01-16,06:00:00,16.14,80.71,1.91,4.74,9.92,25.57,46.59,132.83,7.592,8.028,9.104,10.271,5.983,30260.93,25.46,81.37,1004.99,12.6,21.4,3.7,11,8320,0.0197,LOW
2020-01-16,12:00:00,16.18,80.75,0.65,1.38,1.45,9.33,36.47,92.55,7.179,7.592,8.54,10.045,5.401,26368.58,32.68,71.73,1012.69,12.24,14.7,1.2,6,15620,0.0373,LOW
2020-01-16,18:00:00,16.22,80.8,2.44,2.44,2.44,2.44,4.91,32.17,6.459,7.179,8.028,9.533,5.492,14181.02,27.24,79.33,1014.36,5.12,12.8,2.8,6,19850,0.0132,LOW
2020-01-17,00:00:00,16.28,80.84,11.28,37.0,56.84,97.07,170.9,452.73,7.356,6.459,7.592,9.104,6.008,75838.54,28.34,70.0,1005.84,11.08,25.1,5.4,7,9130,0.3836,MODERATE
2020-01-17,06:00:00,16.34,80.9,2.18,3.05,3.05,5.04,15.06,82.2,6.924,7.356,7.179,8.54,6.293,17271.74,24.51,81.57,1007.06,8.68,19.3,3.1,6,14670,0.0123,LOW
2020-01-17,12:00:00,16.4,80.96,7.79,20.65,37.27,64.95,95.43,352.25,7.443,6.924,6.459,8.028,5.996,46811.19,28.04,76.4,1009.81,11.53,11.9,1.6,5,22100,0.0864,LOW
2020-01-17,18:00:00,16.46,81.02,2.19,5.33,10.1,10.1,17.72,63.28,6.921,7.443,7.356,7.592,10.271,17983.73,24.18,70.75,1008.41,6.33,28.4,6.2,6,7650,0.01,LOW
2020-01-18,00:00:00,16.52,81.08,1.37,2.95,6.35,17.88,17.88,19.86,6.601,6.921,6.924,7.179,10.045,17448.85,26.51,69.53,1000.64,9.4,16.5,2.4,6,17400,0.01,LOW
2020-01-18,06:00:00,16.58,81.14,4.27,4.35,8.28,8.28,12.81,12.81,6.14,6.601,7.443,6.459,9.533,16905.2,26.02,71.3,998.98,8.76,22.7,4.1,4,10900,0.01,LOW
2020-01-18,12:00:00,16.1,80.65,25.29,70.76,163.32,246.11,425.7,1164.92,9.152,6.14,6.921,7.356,9.104,167026.52,26.5,77.09,1007.78,6.91,18.2,2.1,4,12450,0.99,VERY_HIGH
2020-01-18,18:00:00,16.14,80.71,5.42,13.48,23.44,39.26,62.98,188.26,9.003,9.152,6.601,6.924,8.54,40844.85,26.29,75.05,1011.6,9.44,21.4,3.7,9,8320,0.0558,LOW
2020-01-19,00:00:00,16.18,80.75,3.15,10.01,18.45,30.22,35.94,56.24,8.543,9.003,6.14,7.443,8.028,27759.01,28.27,77.44,1005.26,7.22,14.7,1.2,9,15620,0.0195,LOW
2020-01-19,06:00:00,16.22,80.8,3.96,9.02,25.04,45.03,73.63,217.5,8.733,8.543,9.152,6.921,7.592,41513.58,27.88,72.64,1005.1,9.52,12.8,2.8,10,19850,0.0962,LOW
2020-01-19,12:00:00,16.28,80.84,3.74,18.02,46.08,73.64,121.41,371.5,8.962,8.733,9.003,6.601,7.179,57291.85,27.57,68.15,1009.47,11.67,25.1,5.4,10,9130,0.2423,LOW
2020-01-19,18:00:00,16.34,80.9,0.45,0.45,0.45,0.45,0.45,30.32,8.141,8.962,8.543,6.14,6.459,15031.92,23.64,84.13,1005.02,14.45,19.3,3.1,11,14670,0.0185,LOW
2020-01-20,00:00:00,16.4,80.96,13.79,32.66,66.45,95.34,159.57,527.0,8.849,8.141,8.733,9.152,7.356,71613.77,20.9,81.36,1005.44,5.83,11.9,1.6,4,22100,0.6193,HIGH
2020-01-20,06:00:00,16.46,81.02,3.57,12.01,24.88,38.44,54.47,145.5,8.417,8.849,8.962,9.003,6.924,32300.24,27.31,65.94,1008.08,7.68,28.4,6.2,6,7650,0.037,LOW
2020-01-20,12:00:00,16.52,81.08,0.72,0.72,9.67,14.78,14.78,52.27,7.924,8.417,8.141,8.543,7.443,19173.0,27.78,77.28,1003.53,5.82,16.5,2.4,5,17400,0.0111,LOW
2020-01-20,18:00:00,16.58,81.14,2.19,10.03,15.83,18.14,31.65,91.65,7.562,7.924,8.849,8.733,6.921,23063.02,23.56,73.38,1009.73,4.91,22.7,4.1,7,10900,0.0189,LOW
2020-01-21,00:00:00,16.1,80.65,0.33,4.16,8.08,21.89,36.44,90.45,6.999,7.562,8.417,8.962,6.601,25284.28,27.83,87.42,1006.66,5.98,18.2,2.1,11,12450,0.0153,LOW
2020-01-21,06:00:00,16.14,80.71,11.59,25.5,51.46,95.91,138.77,336.06,7.472,6.999,7.924,8.141,6.14,60141.82,27.27,86.3,1008.08,7.42,21.4,3.7,7,8320,0.2472,LOW
2020-01-21,12:00:00,16.18,80.75,2.49,16.9,31.05,38.76,91.43,313.88,7.925,7.472,7.562,8.849,9.152,47053.22,28.68,75.4,1002.68,8.34,14.7,1.2,6,15620,0.171,LOW
2020-01-21,18:00:00,16.22,80.8,2.28,6.02,11.41,22.34,29.83,103.2,7.388,7.925,6.999,8.417,9.003,24251.04,27.05,85.02,1006.67,9.18,12.8,2.8,9,19850,0.0171,LOW
2020-01-22,00:00:00,16.28,80.84,7.9,22.15,47.87,88.48,142.52,408.57,7.892,7.388,7.472,7.924,8.543,65279.87,26.64,84.39,1006.63,2.45,25.1,5.4,5,9130,0.2887,MODERATE
2020-01-22,06:00:00,16.34,80.9,1.63,3.38,3.38,15.14,25.85,59.31,7.477,7.892,7.925,7.562,8.733,22196.38,24.41,83.68,1005.32,8.55,19.3,3.1,6,14670,0.0178,LOW
2020-01-22,12:00:00,16.4,80.96,6.28,9.52,18.46,36.76,74.7,200.77,7.218,7.477,7.388,6.999,8.962,36406.38,27.6,80.45,1003.57,8.43,11.9,1.6,9,22100,0.0564,LOW
2020-01-22,18:00:00,16.46,81.02,3.78,6.47,12.43,26.76,44.11,147.83,7.039,7.218,7.892,7.472,8.141,30316.27,24.94,83.07,1005.07,10.07,28.4,6.2,6,7650,0.0157,LOW
2020-01-23,00:00:00,16.52,81.08,2.93,5.38,14.11,39.29,58.32,182.79,7.061,7.039,7.477,7.925,8.849,34519.01,27.18,73.75,1004.38,8.14,16.5,2.4,8,17400,0.039,LOW
2020-01-23,06:00:00,16.58,81.14,5.3,20.53,47.94,81.48,155.97,511.31,8.304,7.061,7.218,7.388,8.417,69324.96,27.17,66.94,1006.09,5.94,22.7,4.1,8,10900,0.442,MODERATE
2020-01-23,12:00:00,16.1,80.65,3.11,11.57,17.64,25.92,26.53,75.71,8.031,8.304,7.039,7.892,7.924,23048.87,25.03,72.53,1006.23,8.07,18.2,2.1,12,12450,0.0244,LOW
2020-01-23,18:00:00,16.14,80.71,4.22,10.53,17.27,18.1,26.71,56.17,7.255,8.031,7.061,7.477,7.562,23480.5,23.03,67.05,1007.88,9.32,21.4,3.7,7,8320,0.0109,LOW
2020-01-24,00:00:00,16.18,80.75,10.5,27.72,48.7,83.22,117.81,389.03,7.82,7.255,8.304,7.218,6.999,56218.68,29.7,83.49,1011.07,3.72,14.7,1.2,8,15620,0.2562,MODERATE
2020-01-24,06:00:00,16.22,80.8,16.33,43.03,63.62,80.04,154.4,469.3,8.396,7.82,8.031,7.039,7.472,68835.42,28.86,87.59,1004.34,5.69,12.8,2.8,8,19850,0.5636,HIGH
2020-01-24,12:00:00,16.28,80.84,4.63,13.26,15.08,33.77,66.14,126.71,8.384,8.396,7.255,7.061,7.925,37563.85,26.53,74.7,1009.68,11.33,25.1,5.4,3,9130,0.037,LOW
2020-01-24,18:00:00,16.34,80.9,1.21,8.39,11.22,19.02,32.87,62.72,7.952,8.384,7.82,8.304,7.388,26105.2,26.2,65.73,1005.71,7.82,19.3,3.1,4,14670,0.0274,LOW
2020-01-25,00:00:00,16.4,80.96,0.42,6.01,23.83,32.68,45.42,100.73,7.718,7.952,8.396,8.031,7.892,32277.37,25.96,64.67,1009.57,5.37,11.9,1.6,2,22100,0.0231,LOW
2020-01-25,06:00:00,16.46,81.02,2.23,11.77,25.18,41.02,65.11,157.78,7.695,7.718,8.384,7.255,7.477,36489.77,30.89,74.38,1007.93,6.39,28.4,6.2,7,7650,0.0208,LOW
2020-01-25,12:00:00,16.52,81.08,4.26,6.93,11.36,11.36,51.21,167.81,7.557,7.695,7.952,7.82,7.218,31288.37,27.63,79.68,1009.21,9.44,16.5,2.4,6,17400,0.0333,LOW
2020-01-25,18:00:00,16.58,81.14,7.61,13.25,30.3,67.51,121.37,360.61,7.86,7.557,7.718,8.396,7.039,55982.75,25.36,83.42,1005.09,5.81,22.7,4.1,8,10900,0.2254,LOW
2020-01-26,00:00:00,16.1,80.65,5.57,19.46,45.91,80.99,108.34,269.39,8.128,7.86,7.695,8.384,7.061,52549.91,26.68,71.8,1005.87,3.32,18.2,2.1,8,12450,0.1174,LOW
2020-01-26,06:00:00,16.14,80.71,6.6,12.22,17.25,31.39,68.02,138.03,8.153,8.128,7.557,7.952,8.304,37456.42,26.71,77.02,1007.03,3.92,21.4,3.7,7,8320,0.0509,LOW
2020-01-26,12:00:00,16.18,80.75,6.93,18.91,29.56,57.39,104.42,298.15,8.329,8.153,7.86,7.718,8.031,50910.16,25.88,76.4,1000.76,6.31,14.7,1.2,5,15620,0.1822,LOW
2020-01-26,18:00:00,16.22,80.8,7.54,16.22,19.98,32.02,58.04,162.01,8.332,8.329,8.128,7.695,7.255,35039.4,25.93,82.71,1004.63,7.65,12.8,2.8,7,19850,0.0636,LOW
2020-01-27,00:00:00,16.28,80.84,13.16,39.17,95.22,177.4,282.06,621.01,9.896,8.332,8.153,7.557,7.82,114799.96,29.65,75.71,1005.37,8.05,25.1,5.4,6,9130,0.8795,VERY_HIGH
2020-01-27,06:00:00,16.34,80.9,17.87,57.54,94.22,196.4,310.09,789.57,11.41,9.896,8.329,7.86,8.396,131039.71,27.83,71.14,1003.91,10.86,19.3,3.1,8,14670,0.9875,VERY_HIGH
2020-01-27,12:00:00,16.4,80.96,2.13,5.79,14.79,17.24,25.77,50.7,10.756,11.41,8.332,8.128,8.384,28328.44,28.71,62.09,1006.68,8.09,11.9,1.6,7,22100,0.1052,LOW
2020-01-27,18:00:00,16.46,81.02,7.19,20.57,31.73,50.83,81.5,211.48,10.488,10.756,9.896,8.153,7.952,47696.2,24.27,67.74,1007.53,8.18,28.4,6.2,10,7650,0.1179,LOW
2020-01-28,00:00:00,16.52,81.08,0.34,0.34,0.34,12.11,24.13,87.72,9.901,10.488,11.41,8.329,7.718,25074.76,26.55,72.65,1004.63,6.56,16.5,2.4,10,17400,0.0449,LOW
2020-01-28,06:00:00,16.58,81.14,4.03,9.82,19.96,29.77,53.38,124.14,9.819,9.901,10.756,8.332,7.695,36365.61,25.16,89.09,1001.32,8.51,22.7,4.1,6,10900,0.0566,LOW
2020-01-28,12:00:00,16.1,80.65,2.49,8.52,8.52,10.32,15.38,64.71,9.018,9.819,10.488,9.896,7.557,21806.1,27.11,78.54,1005.47,4.01,18.2,2.1,7,12450,0.0252,LOW
2020-01-28,18:00:00,16.14,80.71,4.87,13.55,25.56,38.09,72.91,187.12,8.617,9.018,9.901,11.41,7.86,41753.63,30.27,78.68,1005.85,8.05,21.4,3.7,6,8320,0.0917,LOW
2020-01-29,00:00:00,16.18,80.75,32.33,86.02,153.17,294.4,494.69,1511.75,12.563,8.617,9.819,10.756,8.128,194302.51,29.22,72.44,1009.72,3.12,14.7,1.2,7,15620,0.99,VERY_HIGH
2020-01-29,06:00:00,16.22,80.8,18.91,50.7,96.5,197.47,317.72,1080.7,13.8,12.563,9.018,10.488,8.153,136028.9,26.58,82.08,1006.5,11.83,12.8,2.8,8,19850,0.99,VERY_HIGH
2020-01-29,12:00:00,16.28,80.84,6.36,10.2,10.2,20.64,51.6,141.45,12.904,13.8,8.617,9.901,8.329,39285.15,24.91,79.09,1007.33,10.68,25.1,5.4,2,9130,0.1813,LOW
2020-01-29,18:00:00,16.34,80.9,1.33,1.33,8.86,22.66,26.85,58.42,11.883,12.904,12.563,9.819,8.332,32492.02,25.98,79.32,1009.69,7.42,19.3,3.1,9,14670,0.1287,LOW
2020-01-30,00:00:00,16.4,80.96,3.24,6.88,16.78,16.78,26.85,79.39,11.284,11.883,13.8,9.018,9.896,29618.42,21.92,77.49,1010.74,10.54,11.9,1.6,9,22100,0.103,LOW
2020-01-30,06:00:00,16.46,81.02,1.92,6.3,16.43,35.1,45.17,99.89,10.333,11.284,12.904,8.617,11.41,33980.78,28.53,81.64,1005.92,7.87,28.4,6.2,8,7650,0.0634,LOW
2020-01-30,12:00:00,16.52,81.08,4.68,13.15,31.26,50.46,77.85,172.32,10.268,10.333,11.883,12.563,10.756,48052.87,27.83,81.41,1004.68,9.98,16.5,2.4,6,17400,0.15,LOW
2020-01-30,18:00:00,16.58,81.14,0.92,0.92,0.92,0.92,19.59,35.79,9.706,10.268,11.284,13.8,10.488,26063.53,26.66,73.26,1007.51,9.3,22.7,4.1,4,10900,0.0226,LOW
2020-01-31,00:00:00,16.1,80.65,1.94,5.34,12.37,13.34,24.15,56.53,8.923,9.706,10.333,12.904,9.901,23716.23,25.59,86.76,1003.07,3.9,18.2,2.1,7,12450,0.0142,LOW
2020-01-31,06:00:00,16.14,80.71,6.65,8.22,12.42,19.37,49.06,142.76,8.379,8.923,10.268,11.883,9.819,31153.36,28.79,69.66,1009.82,11.89,21.4,3.7,7,8320,0.0504,LOW
2020-01-31,12:00:00,16.18,80.75,4.88,14.46,28.4,49.39,82.37,212.8,8.439,8.379,9.706,11.284,9.018,44246.96,26.15,79.07,1003.92,7.7,14.7,1.2,6,15620,0.0618,LOW
2020-01-31,18:00:00,16.22,80.8,10.94,27.18,58.67,78.55,122.95,259.79,8.689,8.439,8.923,10.333,8.617,57811.55,25.28,72.41,1003.74,5.97,12.8,2.8,10,19850,0.2475,LOW
2020-02-01,00:00:00,16.28,80.84,1.6,5.38,11.99,23.43,50.17,157.32,8.064,8.689,8.379,10.268,12.563,32415.83,26.59,72.83,1007.49,9.97,25.1,5.4,6,9130,0.039,LOW
